,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
1,0.0,0.0,0.0,1.0
2,0.75,0.75,0.75,4.0
3,0.5182481751824818,0.9161290322580645,0.662004662004662,155.0
4,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,3.0
6,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0
7,0.6666666666666666,0.2,0.30769230769230765,20.0
8,0.7428571428571429,0.6190476190476191,0.6753246753246753,42.0
10,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
11,0.25,0.09090909090909091,0.13333333333333333,11.0
12,0.9090909090909091,0.47619047619047616,0.6249999999999999,21.0
13,0.7894736842105263,0.5,0.6122448979591837,30.0
14,0.6190476190476191,0.6842105263157895,0.6500000000000001,19.0
15,0.5714285714285714,0.18181818181818182,0.27586206896551724,22.0
16,0.6666666666666666,0.2727272727272727,0.3870967741935484,22.0
17,0.6,0.25,0.35294117647058826,12.0
18,1.0,0.07142857142857142,0.13333333333333333,14.0
accuracy,0.5883720930232558,0.5883720930232558,0.5883720930232558,0.5883720930232558
macro avg,0.5307815372469278,0.344592047173691,0.38091376374582414,430.0
weighted avg,0.6209271739761051,0.5883720930232558,0.5445740168812787,430.0
