,precision,recall,f1-score,support
0,0.4444444444444444,0.8,0.5714285714285714,5.0
2,0.0,0.0,0.0,3.0
3,0.4732142857142857,0.9244186046511628,0.6259842519685039,172.0
4,0.0,0.0,0.0,4.0
5,0.0,0.0,0.0,4.0
6,0.3333333333333333,0.125,0.18181818181818182,24.0
7,0.0,0.0,0.0,26.0
8,0.3333333333333333,0.09302325581395349,0.14545454545454545,43.0
10,0.6,0.35294117647058826,0.4444444444444445,17.0
11,0.3103448275862069,0.5294117647058824,0.391304347826087,17.0
12,0.0,0.0,0.0,13.0
13,0.4,0.07407407407407407,0.125,27.0
14,0.3,0.3333333333333333,0.3157894736842105,18.0
15,0.0,0.0,0.0,18.0
16,0.0,0.0,0.0,16.0
17,0.0,0.0,0.0,8.0
18,0.0,0.0,0.0,15.0
accuracy,0.44883720930232557,0.44883720930232557,0.44883720930232557,0.44883720930232557
macro avg,0.18792177790656492,0.19012954170876437,0.16477787156614965,430.0
weighted avg,0.3200564529473912,0.44883720930232557,0.3358408279274934,430.0
