,precision,recall,f1-score,support
0,0.0,0.0,0.0,8.0
2,0.0,0.0,0.0,5.0
3,0.4727272727272727,0.8609271523178808,0.6103286384976526,151.0
4,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,2.0
6,0.4,0.2777777777777778,0.3278688524590164,36.0
7,0.4,0.16666666666666666,0.23529411764705882,24.0
8,0.45454545454545453,0.10638297872340426,0.17241379310344826,47.0
9,0.5,1.0,0.6666666666666666,1.0
10,0.5263157894736842,0.7142857142857143,0.6060606060606061,14.0
11,0.3333333333333333,0.42857142857142855,0.375,7.0
12,0.5714285714285714,0.3076923076923077,0.4,13.0
13,0.5833333333333334,0.30434782608695654,0.4,23.0
14,0.5789473684210527,0.7857142857142857,0.6666666666666667,28.0
15,0.7272727272727273,0.3333333333333333,0.4571428571428572,24.0
16,0.5,0.14285714285714285,0.22222222222222224,21.0
17,0.5,0.08333333333333333,0.14285714285714285,12.0
18,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
accuracy,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558
macro avg,0.4008094731778942,0.31547536744593885,0.3082882349994447,430.0
weighted avg,0.4789709739464941,0.4883720930232558,0.42583482086424274,430.0
