,precision,recall,f1-score,support
0,0.3333333333333333,0.13333333333333333,0.19047619047619044,15.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,8.0
3,0.39087947882736157,0.8333333333333334,0.532150776053215,144.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,34.0
7,0.0,0.0,0.0,22.0
8,0.3488372093023256,0.3191489361702128,0.3333333333333333,47.0
10,0.3,0.6428571428571429,0.4090909090909091,14.0
11,1.0,0.1,0.18181818181818182,10.0
12,0.0,0.0,0.0,15.0
13,0.0,0.0,0.0,28.0
14,0.4418604651162791,0.7307692307692307,0.5507246376811594,26.0
15,0.0,0.0,0.0,18.0
16,0.0,0.0,0.0,21.0
17,0.0,0.0,0.0,9.0
18,0.0,0.0,0.0,14.0
accuracy,0.386046511627907,0.386046511627907,0.386046511627907,0.386046511627907
macro avg,0.15638391592107218,0.1533023320257363,0.12208855713627716,430.0
weighted avg,0.24039619972412238,0.386046511627907,0.27213445674566783,430.0
