,precision,recall,f1-score,support
0,0.6666666666666666,0.2,0.30769230769230765,10.0
2,0.0,0.0,0.0,8.0
3,0.5714285714285714,0.9122807017543859,0.7027027027027027,171.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.5769230769230769,0.5555555555555556,0.5660377358490566,27.0
7,0.8,0.32,0.45714285714285713,25.0
8,0.7222222222222222,0.5531914893617021,0.6265060240963856,47.0
10,0.9230769230769231,0.75,0.8275862068965517,16.0
11,0.631578947368421,0.9230769230769231,0.7499999999999999,13.0
12,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0
13,0.8461538461538461,0.4074074074074074,0.5499999999999999,27.0
14,0.7692307692307693,0.8333333333333334,0.8,24.0
15,1.0,0.1,0.18181818181818182,10.0
16,0.0,0.0,0.0,10.0
17,0.0,0.0,0.0,9.0
18,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
accuracy,0.6232558139534884,0.6232558139534884,0.6232558139534884,0.6232558139534884
macro avg,0.5060305363710936,0.34776401574306853,0.3700290835034934,430.0
weighted avg,0.6128444247171297,0.6232558139534884,0.5710468312644111,430.0
