,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
2,0.5,0.3333333333333333,0.4,15.0
3,0.4081081081081081,0.9556962025316456,0.5719696969696969,158.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,32.0
7,0.0,0.0,0.0,18.0
8,0.0,0.0,0.0,38.0
9,0.0,0.0,0.0,1.0
10,0.5238095238095238,0.6875,0.5945945945945946,16.0
11,0.0,0.0,0.0,13.0
12,0.0,0.0,0.0,14.0
13,0.3333333333333333,0.15384615384615385,0.21052631578947367,26.0
14,0.4117647058823529,0.28,0.3333333333333333,25.0
15,0.0,0.0,0.0,21.0
16,0.0,0.0,0.0,20.0
17,0.0,0.0,0.0,7.0
18,0.0,0.0,0.0,18.0
accuracy,0.413953488372093,0.413953488372093,0.413953488372093,0.413953488372093
macro avg,0.12094531506296212,0.13390976053950737,0.11724577448261658,430.0
weighted avg,0.23098329715292779,0.413953488372093,0.278352891112989,430.0
