,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
2,0.16666666666666666,0.09090909090909091,0.11764705882352942,11.0
3,0.46984126984126984,0.9135802469135802,0.620545073375262,162.0
4,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,4.0
6,0.5,0.13333333333333333,0.2105263157894737,30.0
7,0.0,0.0,0.0,18.0
8,0.43478260869565216,0.23809523809523808,0.30769230769230765,42.0
10,0.625,0.625,0.625,16.0
11,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
12,0.0,0.0,0.0,10.0
13,0.4666666666666667,0.3181818181818182,0.3783783783783784,22.0
14,0.5625,0.3333333333333333,0.4186046511627907,27.0
15,0.0,0.0,0.0,19.0
16,0.75,0.14285714285714285,0.24,21.0
17,0.0,0.0,0.0,6.0
18,0.36363636363636365,0.2,0.25806451612903225,20.0
accuracy,0.4744186046511628,0.4744186046511628,0.4744186046511628,0.4744186046511628
macro avg,0.2866133475788207,0.2075660904092277,0.21822303733435924,430.0
weighted avg,0.4132218198889079,0.4744186046511628,0.3927656422300296,430.0
