,precision,recall,f1-score,support
0,1.0,0.125,0.2222222222222222,8.0
2,0.5,0.18181818181818182,0.26666666666666666,11.0
3,0.4896551724137931,0.9102564102564102,0.6367713004484304,156.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,1.0
6,0.6666666666666666,0.23529411764705882,0.3478260869565218,34.0
7,0.5555555555555556,0.21739130434782608,0.3125,23.0
8,0.6451612903225806,0.43478260869565216,0.5194805194805194,46.0
10,0.5909090909090909,0.6842105263157895,0.6341463414634148,19.0
11,0.5625,0.6,0.5806451612903225,15.0
12,0.0,0.0,0.0,11.0
13,0.5,0.17391304347826086,0.25806451612903225,23.0
14,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
15,0.5384615384615384,0.30434782608695654,0.3888888888888889,23.0
16,1.0,0.05,0.09523809523809523,20.0
17,0.0,0.0,0.0,6.0
18,0.5,0.1,0.16666666666666669,10.0
accuracy,0.5302325581395348,0.5302325581395348,0.5302325581395348,0.5302325581395348
macro avg,0.4860702958008788,0.2783117489959912,0.3025530693962644,430.0
weighted avg,0.5547847879249371,0.5302325581395348,0.4678300921574241,430.0
