,precision,recall,f1-score,support
0,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
2,0.75,0.5,0.6,6.0
3,0.56,0.9447852760736196,0.7031963470319635,163.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,4.0
6,0.8235294117647058,0.4117647058823529,0.5490196078431372,34.0
7,0.5789473684210527,0.4583333333333333,0.5116279069767442,24.0
8,0.64,0.47058823529411764,0.5423728813559322,34.0
10,0.9285714285714286,0.8125,0.8666666666666666,16.0
11,0.8571428571428571,0.46153846153846156,0.6,13.0
12,0.7777777777777778,0.4117647058823529,0.5384615384615384,17.0
13,0.6470588235294118,0.4583333333333333,0.5365853658536585,24.0
14,0.75,0.75,0.75,20.0
15,1.0,0.11764705882352941,0.21052631578947367,17.0
16,1.0,0.3125,0.47619047619047616,16.0
17,1.0,0.2727272727272727,0.42857142857142855,11.0
18,0.8333333333333334,0.29411764705882354,0.4347826086956522,17.0
accuracy,0.6255813953488372,0.6255813953488372,0.6255813953488372,0.6255813953488372
macro avg,0.6892817395275964,0.41413155256373885,0.4819085639930068,430.0
weighted avg,0.6828808180963125,0.6255813953488372,0.5918568709439308,430.0
