,precision,recall,f1-score,support
0,1.0,0.25,0.4,4.0
2,0.6666666666666666,0.2857142857142857,0.4,7.0
3,0.555984555984556,0.9473684210526315,0.7007299270072992,152.0
4,0.0,0.0,0.0,5.0
5,0.0,0.0,0.0,3.0
6,0.5294117647058824,0.3103448275862069,0.391304347826087,29.0
7,0.6666666666666666,0.3157894736842105,0.42857142857142855,19.0
8,0.8181818181818182,0.5192307692307693,0.6352941176470589,52.0
10,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
11,0.0,0.0,0.0,9.0
12,0.6,0.1875,0.2857142857142857,16.0
13,0.6086956521739131,0.4827586206896552,0.5384615384615384,29.0
14,0.7096774193548387,0.7857142857142857,0.7457627118644068,28.0
15,0.5833333333333334,0.3333333333333333,0.4242424242424242,21.0
16,0.5555555555555556,0.29411764705882354,0.3846153846153846,17.0
17,1.0,0.5714285714285714,0.7272727272727273,7.0
18,0.5555555555555556,0.29411764705882354,0.3846153846153846,17.0
accuracy,0.6093023255813953,0.6093023255813953,0.6093023255813953,0.6093023255813953
macro avg,0.5715526855791442,0.379063797012839,0.43019123202968784,430.0
weighted avg,0.6093102607180904,0.6093023255813953,0.5687953917407206,430.0
