,precision,recall,f1-score,support
0,0.4,0.25,0.3076923076923077,8.0
2,1.0,0.1,0.18181818181818182,10.0
3,0.4573643410852713,0.8676470588235294,0.5989847715736041,136.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,3.0
6,0.42857142857142855,0.2647058823529412,0.32727272727272727,34.0
7,0.4,0.08,0.13333333333333333,25.0
8,0.4666666666666667,0.34146341463414637,0.3943661971830986,41.0
10,0.875,0.7368421052631579,0.7999999999999999,19.0
11,0.5555555555555556,0.45454545454545453,0.5,11.0
12,0.5,0.25,0.3333333333333333,12.0
13,0.7,0.3888888888888889,0.5,36.0
14,0.6206896551724138,0.8181818181818182,0.7058823529411765,22.0
15,0.3333333333333333,0.047619047619047616,0.08333333333333333,21.0
16,0.47058823529411764,0.2962962962962963,0.3636363636363636,27.0
17,0.5,0.2222222222222222,0.30769230769230765,9.0
18,0.5,0.2,0.28571428571428575,15.0
accuracy,0.49767441860465117,0.49767441860465117,0.49767441860465117,0.49767441860465117
macro avg,0.4828099538634581,0.3128477758133825,0.34253291150141485,430.0
weighted avg,0.5079150655121027,0.49767441860465117,0.4493576930155263,430.0
