,precision,recall,f1-score,support
0,1.0,0.4,0.5714285714285715,5.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,6.0
3,0.5353159851301115,0.9536423841059603,0.6857142857142856,151.0
4,0.0,0.0,0.0,3.0
5,1.0,0.2,0.33333333333333337,5.0
6,0.7692307692307693,0.625,0.6896551724137931,32.0
7,0.75,0.3157894736842105,0.44444444444444436,19.0
8,0.7368421052631579,0.5714285714285714,0.6436781609195403,49.0
10,0.7857142857142857,0.5789473684210527,0.6666666666666667,19.0
11,0.75,0.6428571428571429,0.6923076923076924,14.0
12,0.75,0.25,0.375,12.0
13,0.8333333333333334,0.3333333333333333,0.47619047619047616,30.0
14,0.6666666666666666,0.6666666666666666,0.6666666666666666,27.0
15,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0
16,0.4,0.10526315789473684,0.16666666666666666,19.0
17,0.5,0.16666666666666666,0.25,6.0
18,0.5714285714285714,0.3076923076923077,0.4,13.0
accuracy,0.6069767441860465,0.6069767441860465,0.6069767441860465,0.6069767441860465
macro avg,0.5952887990796423,0.34569723503585476,0.4024205732539066,430.0
weighted avg,0.6370399326784552,0.6069767441860465,0.5641539704170017,430.0
