,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
2,0.0,0.0,0.0,11.0
3,0.45733788395904434,0.881578947368421,0.6022471910112359,152.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,5.0
6,0.38461538461538464,0.14705882352941177,0.21276595744680854,34.0
7,0.5,0.3,0.37499999999999994,20.0
8,0.53125,0.4594594594594595,0.4927536231884059,37.0
10,0.6111111111111112,0.6470588235294118,0.6285714285714287,17.0
11,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0
12,0.16666666666666666,0.07142857142857142,0.1,14.0
13,0.5833333333333334,0.30434782608695654,0.4,23.0
14,0.5357142857142857,0.6521739130434783,0.5882352941176471,23.0
15,0.0,0.0,0.0,16.0
16,0.3333333333333333,0.043478260869565216,0.07692307692307691,23.0
17,0.0,0.0,0.0,8.0
18,0.0,0.0,0.0,20.0
accuracy,0.46744186046511627,0.46744186046511627,0.46744186046511627,0.46744186046511627
macro avg,0.2594737827309098,0.22436923135338724,0.2225993458206418,430.0
weighted avg,0.37761747805972545,0.46744186046511627,0.3839345499174914,430.0
