,precision,recall,f1-score,support
0,0.5,0.1,0.16666666666666669,10.0
1,0.0,0.0,0.0,1.0
2,0.75,0.2727272727272727,0.39999999999999997,11.0
3,0.5212355212355212,0.8940397350993378,0.6585365853658536,151.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,1.0
6,0.6111111111111112,0.3793103448275862,0.46808510638297873,29.0
7,0.5384615384615384,0.3333333333333333,0.41176470588235287,21.0
8,0.631578947368421,0.5454545454545454,0.5853658536585366,44.0
10,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
11,0.6,0.5454545454545454,0.5714285714285713,11.0
12,0.6363636363636364,0.4117647058823529,0.5,17.0
13,0.6842105263157895,0.3611111111111111,0.4727272727272728,36.0
14,0.6538461538461539,0.7727272727272727,0.7083333333333333,22.0
15,0.6666666666666666,0.1111111111111111,0.1904761904761905,18.0
16,1.0,0.08333333333333333,0.15384615384615385,12.0
17,0.0,0.0,0.0,9.0
18,0.6923076923076923,0.42857142857142855,0.5294117647058824,21.0
accuracy,0.5720930232558139,0.5720930232558139,0.5720930232558139,0.5720930232558139
macro avg,0.514167364605961,0.3337871949368889,0.36588183187247564,430.0
weighted avg,0.5901134642077114,0.5720930232558139,0.5285184123193027,430.0
