,precision,recall,f1-score,support
0,1.0,0.6666666666666666,0.8,3.0
2,0.6666666666666666,0.5,0.5714285714285715,8.0
3,0.5833333333333334,0.9625,0.7264150943396227,160.0
4,0.0,0.0,0.0,1.0
5,0.5,0.25,0.3333333333333333,4.0
6,0.9090909090909091,0.37037037037037035,0.5263157894736842,27.0
7,0.85,0.6296296296296297,0.723404255319149,27.0
8,0.6578947368421053,0.5555555555555556,0.6024096385542169,45.0
10,0.8,0.6666666666666666,0.7272727272727272,18.0
11,0.6666666666666666,0.18181818181818182,0.28571428571428575,11.0
12,0.0,0.0,0.0,12.0
13,0.7307692307692307,0.5588235294117647,0.6333333333333334,34.0
14,0.6818181818181818,0.8333333333333334,0.7499999999999999,18.0
15,0.8571428571428571,0.35294117647058826,0.5,17.0
16,0.8888888888888888,0.5,0.64,16.0
17,1.0,0.18181818181818182,0.3076923076923077,11.0
18,1.0,0.16666666666666666,0.2857142857142857,18.0
accuracy,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745
macro avg,0.6936630277187552,0.43392882108280034,0.49488433071620685,430.0
weighted avg,0.6916587200369331,0.6511627906976745,0.6137595907860928,430.0
