,precision,recall,f1-score,support
0,0.6666666666666666,0.25,0.36363636363636365,8.0
2,1.0,0.14285714285714285,0.25,7.0
3,0.5017064846416383,0.9130434782608695,0.6475770925110133,161.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,4.0
6,0.6,0.0967741935483871,0.16666666666666666,31.0
7,0.42857142857142855,0.14285714285714285,0.21428571428571427,21.0
8,0.6,0.36585365853658536,0.4545454545454546,41.0
10,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
11,0.5714285714285714,0.6666666666666666,0.6153846153846153,12.0
12,0.6666666666666666,0.23529411764705882,0.3478260869565218,17.0
13,0.6923076923076923,0.3333333333333333,0.45,27.0
14,0.5151515151515151,0.7391304347826086,0.6071428571428571,23.0
15,0.5,0.23529411764705882,0.31999999999999995,17.0
16,0.36363636363636365,0.2,0.25806451612903225,20.0
17,0.5,0.14285714285714285,0.22222222222222224,7.0
18,0.0,0.0,0.0,19.0
accuracy,0.5232558139534884,0.5232558139534884,0.5232558139534884,0.5232558139534884
macro avg,0.4931713627557835,0.29689969190160764,0.32847166212630163,430.0
weighted avg,0.5177800155766661,0.5232558139534884,0.4576530780504477,430.0
